payment_amount,fine_amount,amount_due,plate,interest_amount,issuing_agency,violation,summons_number,violation_time,penalty_amount,precinct,judgment_entry_date,reduction_amount,violation_status,county,issue_date,summons_image,state,license_type
0,35,0,FDF1643,0,TRAFFIC,FAIL TO DSPLY MUNI METER RECPT,8255528751,01:39P,0,103,,35,HEARING HELD-NOT GUILTY,Q,05/26/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VNVVWWGxQUkdNeFRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
0,35,0,HFB7849,0,TRAFFIC,EXPIRED MUNI METER,8255528787,01:53P,0,103,,35,HEARING HELD-NOT GUILTY,Q,05/26/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VNVVWWGxQUkdNMFRuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
45,35,0,H27DZP,0,TRAFFIC,FAIL TO DSPLY MUNI METER RECPT,8254520045,02:00P,10,068,,0,,K,03/28/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VNUVWWGxOUkVFd1RsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",NJ,PAS
35,35,0,ESZ9817,0,TRAFFIC,EXPIRED MUNI METER,8254520094,04:08P,0,068,,0,HEARING HELD-GUILTY,K,03/28/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VNUVWWGxOUkVFMVRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
0,35,0,CNC1462,0,TRAFFIC,EXPIRED MUNI METER,8254523666,05:27P,0,076,,35,HEARING HELD-NOT GUILTY,K,04/26/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VNUVWWGxOZWxreVRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
0,35,0,T668005C,0,TRAFFIC,FAIL TO DSPLY MUNI METER RECPT,8254523903,04:49P,0,068,,35,HEARING HELD-NOT GUILTY,K,04/28/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VNUVWWGxOZW10M1RYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,OMT
75,45,0,GEX3397,0,TRAFFIC,NO PARKING-STREET CLEANING,8255005262,11:50A,60,048,,30,,BX,02/11/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VNVVRWGRPVkVreVRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
145,115,0,GRH4832,0,TRAFFIC,NO STANDING-BUS STOP,8255014913,03:00A,30,046,,0,,BX,03/12/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VNVVRWGhPUkd0NFRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
45,35,0,GPK5251,0,TRAFFIC,FAIL TO DSPLY MUNI METER RECPT,8255016569,03:17P,30,052,,20,,BX,03/17/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VNVVRWGhPYWxVeVQxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
,,,EAB5872,,,,1139461722,,,,,,,,05/29/2008,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSRmVrOVVVVEpOVkdONVRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
125,115,0,T683617C,0,TRAFFIC,NO STANDING-DAY/TIME LIMITS,8255017331,08:43A,10,052,,0,,BX,03/25/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VNVVRWGhPZWsxNlRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,OMT
45,35,0,T683617C,0,TRAFFIC,FAIL TO DSPLY MUNI METER RECPT,8255017355,09:10A,10,052,,0,,BX,03/25/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VNVVRWGhPZWsweFRsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,OMT
70,60,0,CPFA34,0,TRAFFIC,NO PARKING-DAY/TIME LIMITS,8255017434,06:20A,10,042,,0,,BX,03/28/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VNVVRWGhPZWxGNlRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",FL,PAS
55,45,0,BAS4428,0,TRAFFIC,NO PARKING-STREET CLEANING,8255017800,11:40A,10,042,,0,,BX,03/28/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VNVVRWGhPZW1kM1RVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
55,45,0,FLL6734,0,TRAFFIC,NO PARKING-STREET CLEANING,8255020160,09:40A,10,050,,0,,BX,04/07/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VNVVRWGxOUkVVeVRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
35,35,0,CZM7744,0,TRAFFIC,FAIL TO DSPLY MUNI METER RECPT,8255022508,11:08A,0,048,,0,,BX,04/29/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VNVVRWGxOYWxWM1QwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
0,115,0,732368N,0,TRAFFIC,FIRE HYDRANT,8255022600,07:39A,0,044,,115,HEARING HELD-NOT GUILTY,BX,05/02/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VNVVRWGxOYWxsM1RVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",NJ,PAS
45,45,0,GXK8122,0,TRAFFIC,NO PARKING-STREET CLEANING,8255022752,09:18A,0,044,,0,,BX,05/02/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VNVVRWGxOYW1NeFRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
45,45,0,GLR8055,0,TRAFFIC,NO PARKING-STREET CLEANING,8255022909,11:43A,0,044,,0,,BX,05/02/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VNVVRWGxOYW10M1QxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
65,65,0,GLR8055,0,TRAFFIC,FRONT OR BACK PLATE MISSING,8255022910,11:44A,0,044,,0,,BX,05/02/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VNVVRWGxOYW10NFRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
45,45,0,AG86024,0,TRAFFIC,NO PARKING-STREET CLEANING,8255023665,07:48A,0,042,,0,,BX,05/06/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VNVVRWGxOZWxreVRsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",AZ,PAS
45,45,0,Y63CSC,0,TRAFFIC,NO PARKING-STREET CLEANING,8255023800,09:37A,0,042,,0,,BX,05/06/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VNVVRWGxOZW1kM1RVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",FL,PAS
35,35,0,B35CZA,0,TRAFFIC,FAIL TO DSPLY MUNI METER RECPT,8255024098,11:24A,0,052,,0,,BX,05/07/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VNVVRWGxPUkVFMVQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",NJ,PAS
92,115,0,55061MB,0,TRAFFIC,NO STANDING-DAY/TIME LIMITS,8255024815,03:41P,0,050,,23,HEARING HELD-GUILTY REDUCTION,BX,05/09/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VNVVRWGxPUkdkNFRsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,COM
45,45,0,GWH9564,0,TRAFFIC,NO PARKING-STREET CLEANING,8255025479,11:56A,0,046,,0,,BX,05/11/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VNVVRWGxPVkZFelQxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
,,,T777259C,,,,8759483570,,,,,,,,07/10/2020,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSak1VOVVVVFJOZWxVelRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
45,45,0,T623038C,0,TRAFFIC,NO PARKING-STREET CLEANING,8255027932,12:25P,0,042,,0,HEARING PENDING,BX,05/20/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VNVVRWGxPZW10NlRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,OMT
115,115,0,VAJ1131,0,TRAFFIC,DOUBLE PARKING,8255028330,11:26A,0,052,,0,HEARING PENDING,BX,05/23/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VNVVRWGxQUkUxNlRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",VA,PAS
45,45,0,FBG1788,0,TRAFFIC,NO PARKING-STREET CLEANING,8255028626,11:42A,0,050,,0,HEARING PENDING,BX,05/24/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VNVVRWGxQUkZsNVRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
60,60,0,A17FHE,0,TRAFFIC,NO PARKING-DAY/TIME LIMITS,8255504229,02:36P,0,103,,0,,Q,01/17/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VNVVWWGRPUkVsNVQxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",NJ,PAS
35,35,0,GYP7100,0,TRAFFIC,FAIL TO DSPLY MUNI METER RECPT,8255504655,05:47P,0,112,,0,,Q,01/18/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VNVVWWGRPUkZreFRsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,OMS
35,35,0,D25FNW,0,TRAFFIC,EXPIRED MUNI METER,8255510424,03:52P,0,102,,0,HEARING HELD-GUILTY,Q,02/18/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VNVVWWGhOUkZGNVRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",NJ,PAS
115,115,0,10633JU,0,TRAFFIC,NO STANDING-DAY/TIME LIMITS,8255516906,01:26P,0,112,,0,HEARING HELD-GUILTY,Q,03/29/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VNVVWWGhPYW10M1RtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,COM
